"Point","X","Y","Z"
"179","-128.9929","-31.4599","0"
"180","-128.8111","-30.9932","0"
"181","-128.6293","-30.5264","0"
"182","-128.4475","-30.0596","0"
"183","-128.2657","-29.5929","0"
"184","-128.0838","-29.1261","0"
"185","-127.902","-28.6593","0"
"186","-127.7202","-28.1925","0"
"187","-127.5384","-27.7258","0"
"188","-127.3566","-27.259","0"
"189","-127.1748","-26.7922","0"
"190","-126.993","-26.3255","0"
"191","-126.8111","-25.8587","0"
"192","-126.6293","-25.3919","0"
"193","-126.4475","-24.9251","0"
"194","-126.2657","-24.4584","0"
"195","-126.0839","-23.9916","0"
"196","-125.9021","-23.5248","0"
"197","-125.7202","-23.0581","0"
"198","-125.5384","-22.5913","0"
"199","-125.3566","-22.1245","0"
"200","-125.1748","-21.6577","0"
"201","-124.993","-21.191","0"
"202","-124.8112","-20.7242","0"
"203","-124.6293","-20.2574","0"
"204","-124.4475","-19.7907","0"
"205","-124.2657","-19.3239","0"
"206","-124.0839","-18.8571","0"
"207","-123.9021","-18.3903","0"
"208","-123.7203","-17.9236","0"
"209","-123.5384","-17.4568","0"
"210","-123.3566","-16.99","0"
"211","-123.1748","-16.5233","0"
"212","-122.993","-16.0565","0"
"213","-122.8112","-15.5897","0"
"214","-122.6294","-15.1229","0"
"215","-122.4476","-14.6562","0"
"216","-122.2657","-14.1894","0"
"217","-122.0839","-13.7226","0"
"218","-121.9021","-13.2559","0"
"219","-121.7203","-12.7891","0"
"220","-121.5385","-12.3223","0"
"221","-121.3567","-11.8555","0"
"222","-121.1748","-11.3888","0"
"223","-120.993","-10.922","0"
"224","-120.8112","-10.4552","0"
"225","-120.6294","-9.9885","0"
"226","-120.4476","-9.5217","0"
"227","-120.2658","-9.0549","0"
"228","-120.0839","-8.5881","0"
"229","-119.9021","-8.1214","0"
"230","-119.7203","-7.6546","0"
"231","-119.5385","-7.1878","0"
"232","-119.3567","-6.7211","0"
"233","-119.1749","-6.2543","0"
"234","-118.993","-5.7875","0"
"235","-118.8112","-5.3207","0"
"236","-118.6294","-4.854","0"
"237","-118.4476","-4.3872","0"
"238","-118.2658","-3.9204","0"
"239","-118.084","-3.4537","0"
"240","-117.9021","-2.9869","0"
"241","-117.7203","-2.5201","0"
"242","-117.5385","-2.0533","0"
"243","-117.3567","-1.5866","0"
"244","-117.1749","-1.1198","0"
"245","-116.9931","-0.653","0"
"246","-116.8113","-0.1863","0"
"247","-162.1236","0","0"
"248","-80.9809","0","0"
"249","-80.9809","-0.5012","0"
"250","-80.9809","-1.0024","0"
"251","-80.9809","-1.5036","0"
"252","-80.9809","-2.0047","0"
"253","-80.9809","-2.5059","0"
"254","-80.9809","-3.0071","0"
"255","-80.9809","-3.5083","0"
"256","-80.9809","-4.0095","0"
"257","-80.9809","-4.5107","0"
"258","-80.9809","-5.0119","0"
"259","-80.9809","-5.5131","0"
"260","-80.9809","-6.0142","0"
"261","-80.9809","-6.5154","0"
"262","-80.9809","-7.0166","0"
"263","-80.9809","-7.5178","0"
"264","-80.9809","-8.019","0"
"265","-80.9809","-8.5202","0"
"266","-80.9809","-9.0214","0"
"267","-80.9809","-9.5225","0"
"268","-80.9809","-10.0237","0"
"269","-80.9809","-10.5249","0"
"270","-80.9809","-11.0261","0"
"271","-80.9809","-11.5273","0"
"272","-80.9809","-12.0285","0"
"273","-80.9809","-12.5297","0"
"274","-80.9809","-13.0309","0"
"275","-80.9809","-13.532","0"
"276","-80.9809","-14.0332","0"
"277","-80.9809","-14.5344","0"
"278","-80.9809","-15.0356","0"
"279","-80.9809","-15.5368","0"
"280","-80.9809","-16.038","0"
"281","-80.9809","-16.5392","0"
"282","-80.9809","-17.0403","0"
"283","-80.9809","-17.5415","0"
"284","-80.9809","-18.0427","0"
"285","-80.9809","-18.5439","0"
"286","-80.9809","-19.0451","0"
"287","-80.9809","-19.5463","0"
"288","-80.9809","-20.0475","0"
"289","-80.9809","-20.5486","0"
"290","-80.9809","-21.0498","0"
"291","-80.9809","-21.551","0"
"292","-80.9809","-22.0522","0"
"293","-80.9972","-22.5531","0"
"294","-81.0183","-23.0538","0"
"295","-81.0394","-23.5545","0"
"296","-81.0605","-24.0553","0"
"297","-81.0816","-24.556","0"
"298","-81.1027","-25.0568","0"
"299","-81.1428","-25.5558","0"
"300","-81.2106","-26.0524","0"
"301","-81.2785","-26.549","0"
"302","-81.3464","-27.0455","0"
"303","-81.4143","-27.5421","0"
"304","-81.4935","-28.0365","0"
"305","-81.6085","-28.5244","0"
"306","-81.7234","-29.0122","0"
"307","-81.8384","-29.5","0"
"308","-81.9779","-29.9809","0"
"309","-82.1367","-30.4562","0"
"310","-82.2954","-30.9316","0"
"311","-82.4815","-31.3964","0"
"312","-82.6847","-31.8545","0"
"313","-82.8879","-32.3127","0"
"314","-83.1277","-32.7524","0"
"315","-83.3744","-33.1887","0"
"316","-83.6418","-33.6122","0"
"317","-83.9311","-34.0211","0"
"318","-84.2389","-34.4166","0"
"319","-84.5706","-34.7917","0"
"320","-84.9138","-35.157","0"
"321","-85.2791","-35.4992","0"
"322","-85.6582","-35.827","0"
"323","-86.0551","-36.1319","0"
"324","-86.466","-36.4189","0"
"325","-86.89","-36.685","0"
"326","-87.3276","-36.9293","0"
"327","-87.7734","-37.1572","0"
"328","-88.2324","-37.3583","0"
"329","-88.6952","-37.5497","0"
"330","-89.1719","-37.7044","0"
"331","-89.6486","-37.8592","0"
"332","-90.1318","-37.9899","0"
"333","-90.6214","-38.0969","0"
"334","-91.1111","-38.2038","0"
"335","-91.6057","-38.282","0"
"336","-92.1029","-38.3452","0"
"337","-92.6001","-38.4084","0"
"338","-93.0996","-38.4441","0"
"339","-93.6003","-38.4648","0"
"340","-94.1011","-38.4856","0"
"341","-94.6018","-38.5063","0"
"342","-95.1025","-38.487","0"
"343","-95.6031","-38.4632","0"
"344","-96.1037","-38.4393","0"
"345","-96.6043","-38.4155","0"
"346","-97.1025","-38.3666","0"
"347","-97.5983","-38.2936","0"
"348","-98.0942","-38.2206","0"
"349","-98.59","-38.1476","0"
"350","-99.0775","-38.0321","0"
"351","-99.5642","-37.9122","0"
"352","-100.0508","-37.7923","0"
"353","-100.5242","-37.6281","0"
"354","-100.9971","-37.462","0"
"355","-101.4677","-37.2905","0"
"356","-101.923","-37.0808","0"
"357","-102.3782","-36.8711","0"
"358","-102.8165","-36.6286","0"
"359","-103.2512","-36.3792","0"
"360","-103.672","-36.1079","0"
"361","-104.0821","-35.8198","0"
"362","-104.484","-35.521","0"
"363","-104.8687","-35.1998","0"
"364","-105.2403","-34.864","0"
"365","-105.6004","-34.5154","0"
"366","-105.9386","-34.146","0"
"367","-106.2689","-33.769","0"
"368","-106.5822","-33.3785","0"
"369","-106.8768","-32.973","0"
"370","-107.1634","-32.5623","0"
"371","-107.4205","-32.1321","0"
"372","-107.6776","-31.7018","0"
"373","-107.8956","-31.2507","0"
"374","-108.1104","-30.7979","0"
"375","-108.3197","-30.3428","0"
"376","-108.4887","-29.871","0"
"377","-108.6577","-29.3991","0"
"378","-108.8169","-28.9243","0"
"379","-108.9418","-28.4389","0"
"380","-109.0667","-27.9535","0"
"381","-109.1824","-27.4662","0"
"382","-109.2626","-26.9715","0"
"383","-109.3427","-26.4768","0"
"384","-109.4229","-25.982","0"
"385","-109.484","-25.4849","0"
"386","-109.5263","-24.9856","0"
"387","-109.5687","-24.4862","0"
"388","-109.5901","-23.9856","0"
"389","-109.6036","-23.4846","0"
"390","-109.6171","-22.9836","0"
"391","-109.6195","-22.4824","0"
"392","-109.6195","-21.9812","0"
"393","-109.6195","-21.4801","0"
"394","-109.6195","-20.9789","0"
"395","-109.6195","-20.4777","0"
"396","-109.6195","-19.9765","0"
"397","-109.6195","-19.4753","0"
"398","-109.6195","-18.9741","0"
"399","-109.6195","-18.4729","0"
"400","-109.6195","-17.9718","0"
"401","-109.6195","-17.4706","0"
"402","-109.6195","-16.9694","0"
"403","-109.6195","-16.4682","0"
"404","-109.6195","-15.967","0"
