"Point","X","Y","Z"
"189","433.3321","-269.5709","0"
"190","425.565","-281.6684","0"
"191","417.4598","-293.5421","0"
"192","409.0232","-305.1827","0"
"193","400.2623","-316.5811","0"
"194","391.1842","-327.7287","0"
"195","381.7963","-338.6166","0"
"196","372.1061","-349.2365","0"
"197","362.1214","-359.5799","0"
"198","351.8497","-369.6384","0"
"199","341.298","-379.4028","0"
"200","330.4761","-388.8669","0"
"201","319.3925","-398.023","0"
"202","308.0558","-406.8637","0"
"203","296.4748","-415.3818","0"
"204","284.6584","-423.5704","0"
"205","272.6159","-431.4225","0"
"206","260.3566","-438.9317","0"
"207","247.89","-446.0915","0"
"208","235.226","-452.8959","0"
"209","222.3744","-459.3391","0"
"210","209.3454","-465.4156","0"
"211","196.1493","-471.1201","0"
"212","182.7967","-476.448","0"
"213","169.2982","-481.3946","0"
"214","155.6648","-485.9561","0"
"215","141.9073","-490.1287","0"
"216","128.0371","-493.9095","0"
"217","114.0653","-497.2957","0"
"218","100.0032","-500.2852","0"
"219","85.8624","-502.8765","0"
"220","71.6542","-505.0687","0"
"221","57.3901","-506.8614","0"
"222","43.0814","-508.2547","0"
"223","28.7393","-509.2486","0"
"224","14.3751","-509.8425","0"
"225","0","-510.0404","0"
"226","500.0391","0","0"
"227","499.836","14.3505","0"
"228","499.2308","28.6897","0"
"229","498.2212","43.006","0"
"230","496.806","57.2879","0"
"231","494.9844","71.5237","0"
"232","492.7563","85.7015","0"
"233","490.1223","99.8095","0"
"234","487.0836","113.8359","0"
"235","483.6419","127.769","0"
"236","479.7996","141.5969","0"
"237","475.5595","155.3081","0"
"238","470.9251","168.891","0"
"239","465.9002","182.3345","0"
"240","460.4891","195.6272","0"
"241","454.6966","208.7582","0"
"242","448.5277","221.7167","0"
"243","441.9848","234.4905","0"
"244","435.0766","247.0703","0"
"245","427.8093","259.4462","0"
"246","420.1894","271.6082","0"
"247","412.2236","283.5464","0"
"248","403.9188","295.2513","0"
"249","395.282","306.7135","0"
"250","386.3207","317.9238","0"
"251","377.0424","328.8732","0"
"252","367.4533","339.5516","0"
"253","357.5609","349.9495","0"
"254","347.3754","360.0605","0"
"255","336.9051","369.8762","0"
"256","326.1586","379.3887","0"
"257","315.1444","388.59","0"
"258","303.8715","397.4724","0"
"259","292.349","406.0285","0"
"260","280.5859","414.2509","0"
